No,Stock,Prev,Open,High,Low,Last,Chg,Chg %,Freq,TVol,TVal (K),
"377","LPKR","185","185","202","183","198","13","7.03","2,654","959,932","18,780,798",
"378","LPLI","80","77","78","77","78","-2","-2.50","3","52","400",
"379","LPPF","1,165","1,165","1,180","1,110","1,155","-10","-0.86","743","37,625","4,331,223",
"380","LPPS","80","75","85","75","80","0","0.00","9","617","4,938",
"381","LRNA","184","180","180","172","172","-12","-6.52","2","2","35",
"382","LSIP","1,320","1,320","1,335","1,280","1,310","-10","-0.76","2,798","115,451","15,153,971",
"383","LTLS","500","500","520","496","498","-2","-0.40","28","480","23,909",
"384","LUCK","122","128","128","120","123","1","0.82","89","4,542","55,201",
"385","MAIN","670","675","685","660","675","5","0.75","400","18,278","1,232,967",
"386","MAMI","50","50","50","50","50","0","0.00","5","1,521","7,605",
"387","MAMI-W","3","3","3","3","3","0","0.00","8","12,668","3,800",
"388","MAPA","2,490","2,500","2,500","2,470","2,470","-20","-0.80","82","1,560","387,149",
"389","MAPB","1,340","1,340","1,340","1,340","1,340","0","0.00","3","4","536",
"390","MAPI","760","765","775","750","765","5","0.66","1,112","58,952","4,498,590",
"391","MARI","95","94","96","92","95","0","0.00","332","149,586","1,414,095",
"392","MARK","1,005","1,015","1,025","1,000","1,000","-5","-0.50","315","13,597","1,380,303",
"393","MASA","1,275","1,275","1,380","1,275","1,365","90","7.06","16","150","20,375",
"394","MAYA","5,000","5,000","5,000","5,000","5,000","0","0.00","11","52","26,000",
"395","MBAP","2,770","2,720","2,740","2,700","2,740","-30","-1.08","17","308","83,997",
"396","MBSS","416","418","426","416","422","6","1.44","244","12,256","513,724",
"397","MBTO","104","104","104","97","101","-3","-2.88","21","492","4,775",
"398","MCAS","4,250","4,250","4,250","4,200","4,200","-50","-1.18","39","4,280","1,818,029",
"399","MCOR","126","128","132","124","132","6","4.76","1,034","367,843","4,737,268",
"400","MDIA","56","55","58","54","58","2","3.57","17","1,185","6,523",
"401","MDKA","2,630","2,600","2,680","2,550","2,570","-60","-2.28","7,078","483,133","125,722,159",
"402","MDKI","214","220","236","218","224","10","4.67","217","17,889","406,103",
"403","MEDC","675","700","715","690","695","20","2.96","12,836","1,581,059","110,647,617",
"404","MEGA","8,925","8,650","8,875","8,650","8,700","-225","-2.52","29","71","61,787",
"405","MERK","3,050","3,050","3,180","3,050","3,110","60","1.97","19","78","24,222",
"406","META","146","146","157","143","152","6","4.11","748","127,243","1,921,439",
"407","MFIN","1,060","1,095","1,095","1,095","1,095","35","3.30","1","1","109",
"408","MFMI","585","555","605","555","595","10","1.71","92","485","29,050",
"409","MGRO","765","765","775","765","770","5","0.65","243","15,411","1,188,778",
"410","MICE","288","288","290","280","290","2","0.69","21","323","9,192",
"411","MIKA","3,200","3,200","3,220","3,100","3,180","-20","-0.62","3,959","266,535","84,746,084",
"412","MIRA","50","50","50","50","50","0","0.00","2","11","55",
"413","MLBI","8,825","8,850","8,900","8,850","8,900","75","0.85","8","49","43,370",
"414","MLIA","585","590","605","590","600","15","2.56","155","31,107","1,856,844",
"415","MLPL","63","63","63","61","63","0","0.00","67","9,573","59,338",
"416","MLPT","855","860","865","845","860","5","0.58","43","1,422","122,224",
"417","MMLP","296","296","298","294","298","2","0.68","264","41,153","1,223,054",
"418","MNCN","1,065","1,080","1,115","1,065","1,095","30","2.82","2,984","267,823","29,190,024",
"419","MPMX","510","515","540","510","535","25","4.90","1,616","192,535","10,122,328",
"420","MPOW","53","53","53","50","53","0","0.00","126","14,748","74,628",
"421","MPPA","130","122","125","121","121","-9","-6.92","143","12,558","152,023",
"422","MRAT","156","159","162","158","158","2","1.28","32","198","3,164",
"423","MSIN","177","177","179","167","172","-5","-2.82","11,084","88,156","1,566,541",
"424","MSKY","665","670","670","670","670","5","0.75","1","1,000","67,000",
"425","MTDL","1,480","1,480","1,525","1,480","1,515","35","2.36","78","1,816","273,401",
"426","MTFN","50","50","50","50","50","0","0.00","2","21","105",
"427","MTLA","420","430","430","420","420","0","0.00","10","52","2,203",
"428","MTPS","100","100","111","93","95","-5","-5.00","727","87,193","831,359",
"429","MTSM","173","173","173","173","173","0","0.00","2","4","69",
"430","MTWI","57","57","57","57","57","0","0.00","6","127","723",
"431","MYOH","1,280","1,280","1,280","1,260","1,280","0","0.00","11","52","6,638",
"432","MYOR","2,640","2,680","2,680","2,550","2,560","-80","-3.03","3,104","50,183","13,037,890",
"433","NATO","580","585","595","575","580","0","0.00","4,470","2,369,189","138,101,478",
"434","NELY","138","138","138","138","138","0","0.00","1","1","13",
"435","NFCX","1,905","1,905","1,905","1,905","1,905","0","0.00","2","4","762",
"436","NICK","268","270","270","266","266","-2","-0.75","2","2","53",
"437","NIKL","1,250","1,255","1,320","1,250","1,280","30","2.40","763","17,596","2,241,111",
"438","NISP","830","840","845","825","830","0","0.00","92","3,447","286,255",
"439","NOBU","740","740","740","740","740","0","0.00","3","20","1,480",
"440","NRCA","354","354","356","354","356","2","0.56","11","508","18,084",
"441","NZIA","156","153","169","153","163","7","4.49","15","52","840",
"442","OASA","350","350","350","350","350","0","0.00","1","5","175",
"443","OKAS","88","88","90","87","90","2","2.27","102","8,218","73,187",
